               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.024751,            0.025094,           0.0077873,             0.89504,             0.78011,             0.89472,             0.57774,            0.026086,            0.010656,           0.0063579,           0.0076265,           0.0076265,           0.0076265
                 105,            0.024806,            0.024932,            0.008001,              0.8089,             0.83726,             0.87941,             0.57101,            0.026286,            0.010565,           0.0069137,           0.0075848,           0.0075848,           0.0075848
                 106,            0.024197,             0.02495,            0.008286,             0.84644,             0.84351,             0.89287,             0.57557,            0.026254,            0.010468,           0.0066778,            0.007543,            0.007543,            0.007543
                 107,            0.024631,            0.025192,           0.0074447,             0.89569,             0.77113,             0.88226,             0.55881,            0.026875,            0.010809,           0.0063795,           0.0075009,           0.0075009,           0.0075009
                 108,            0.024857,            0.024208,            0.007805,             0.84968,             0.82648,             0.89451,             0.58189,            0.025911,            0.010667,           0.0059646,           0.0074585,           0.0074585,           0.0074585
                 109,            0.024323,             0.02486,           0.0082802,             0.91201,             0.76644,             0.88691,              0.5653,            0.026231,            0.010826,           0.0068676,            0.007416,            0.007416,            0.007416
                 110,            0.024449,            0.025202,           0.0081013,             0.81879,             0.83286,             0.87191,             0.56963,            0.025966,            0.010784,            0.007504,           0.0073733,           0.0073733,           0.0073733
                 111,            0.024544,            0.024653,            0.008183,             0.85676,             0.81551,             0.88192,             0.58227,            0.026054,            0.010492,           0.0061385,           0.0073303,           0.0073303,           0.0073303
                 112,            0.024414,            0.024617,            0.007993,             0.84892,             0.84024,             0.89681,             0.58205,            0.026021,            0.010714,           0.0057275,           0.0072872,           0.0072872,           0.0072872
                 113,            0.024345,            0.024073,           0.0078474,             0.83641,             0.82221,             0.88845,             0.57998,            0.026228,            0.010716,           0.0056885,           0.0072438,           0.0072438,           0.0072438
                 114,            0.024416,            0.025376,           0.0077406,             0.86719,             0.81771,             0.88482,             0.57956,            0.026106,            0.010691,           0.0062019,           0.0072003,           0.0072003,           0.0072003
                 115,            0.024151,            0.025857,           0.0072865,             0.86582,             0.80972,             0.88572,             0.58529,            0.026061,            0.010741,           0.0053567,           0.0071566,           0.0071566,           0.0071566
                 116,             0.02437,            0.024449,           0.0073471,             0.87879,             0.78484,             0.87757,             0.57275,            0.026084,            0.010805,           0.0063233,           0.0071127,           0.0071127,           0.0071127
                 117,            0.024572,            0.023923,           0.0069477,             0.85304,             0.81187,             0.88073,             0.57812,             0.02565,            0.010765,           0.0069378,           0.0070686,           0.0070686,           0.0070686
                 118,            0.024181,            0.023584,           0.0075786,              0.9006,             0.75159,             0.87753,             0.57278,            0.026161,            0.010788,           0.0067537,           0.0070243,           0.0070243,           0.0070243
                 119,            0.024164,            0.024462,           0.0075905,             0.79298,             0.84149,              0.8731,             0.57253,            0.026185,            0.010658,           0.0073945,           0.0069799,           0.0069799,           0.0069799
                 120,            0.023968,            0.024224,           0.0076631,             0.84504,             0.83226,             0.89314,              0.5839,             0.02572,            0.010619,           0.0060833,           0.0069353,           0.0069353,           0.0069353
                 121,            0.024134,            0.024473,           0.0075699,             0.84861,             0.84096,             0.88022,             0.56773,            0.026001,            0.010844,           0.0071226,           0.0068906,           0.0068906,           0.0068906
                 122,            0.024089,            0.024824,           0.0068953,             0.86805,             0.81327,             0.88379,             0.57672,            0.026182,             0.01068,           0.0065938,           0.0068457,           0.0068457,           0.0068457
                 123,            0.024109,            0.025608,           0.0075517,             0.89696,             0.77265,             0.88064,             0.57918,            0.025898,            0.010763,           0.0079024,           0.0068006,           0.0068006,           0.0068006
                 124,            0.023962,            0.023397,            0.007212,             0.90019,             0.77637,             0.88101,             0.57971,            0.026006,            0.010627,           0.0073558,           0.0067555,           0.0067555,           0.0067555
                 125,            0.023689,            0.024912,           0.0070721,              0.8404,              0.8249,             0.89141,              0.5895,            0.025835,            0.010457,             0.00688,           0.0067101,           0.0067101,           0.0067101
                 126,            0.024004,            0.025186,           0.0067772,              0.8535,             0.77868,             0.88105,             0.57042,            0.026746,            0.010764,           0.0074202,           0.0066647,           0.0066647,           0.0066647
                 127,            0.023789,            0.024637,           0.0069537,             0.87032,              0.8128,             0.89359,             0.57475,            0.025817,            0.010799,           0.0059529,           0.0066191,           0.0066191,           0.0066191
                 128,            0.023745,            0.024365,            0.006674,             0.82977,             0.82646,             0.88671,             0.58596,            0.026213,            0.010649,           0.0063443,           0.0065734,           0.0065734,           0.0065734
                 129,            0.023368,            0.023712,           0.0067117,             0.83519,             0.85514,             0.89846,             0.58433,            0.025851,            0.010703,           0.0054655,           0.0065276,           0.0065276,           0.0065276
                 130,            0.023752,            0.024728,           0.0063503,             0.86854,             0.78143,             0.87891,             0.57087,            0.026526,            0.010788,           0.0068253,           0.0064816,           0.0064816,           0.0064816
                 131,            0.023498,            0.023497,           0.0063016,             0.87571,             0.81804,             0.88771,             0.57714,             0.02599,            0.010771,            0.007021,           0.0064356,           0.0064356,           0.0064356
                 132,            0.023568,             0.02351,           0.0069532,             0.86674,             0.81326,             0.88755,             0.58966,            0.025742,            0.010491,           0.0064512,           0.0063895,           0.0063895,           0.0063895
                 133,            0.023867,            0.024438,           0.0068925,             0.86486,             0.79596,             0.87469,             0.56932,            0.026297,            0.010836,           0.0063043,           0.0063432,           0.0063432,           0.0063432
                 134,            0.023521,            0.024349,           0.0062262,             0.86168,             0.78921,             0.87891,             0.57968,            0.025775,            0.010744,            0.006412,           0.0062969,           0.0062969,           0.0062969
                 135,            0.023311,            0.024272,           0.0068774,             0.85441,             0.81585,             0.89036,              0.5751,            0.026127,              0.0107,           0.0062512,           0.0062505,           0.0062505,           0.0062505
                 136,            0.023238,            0.023746,           0.0062896,             0.90191,             0.81614,             0.90248,             0.59595,            0.025469,            0.010472,           0.0054947,            0.006204,            0.006204,            0.006204
                 137,            0.023491,              0.0247,           0.0067943,              0.8717,             0.79987,             0.88866,             0.58617,            0.025865,            0.010606,           0.0062017,           0.0061574,           0.0061574,           0.0061574
                 138,             0.02301,            0.024033,           0.0064331,             0.86669,             0.80739,             0.88985,             0.58622,            0.025425,              0.0106,            0.005683,           0.0061107,           0.0061107,           0.0061107
                 139,            0.022892,            0.024761,           0.0063516,             0.87755,              0.8034,              0.8918,             0.59049,            0.025366,            0.010635,           0.0064138,            0.006064,            0.006064,            0.006064
                 140,            0.022713,            0.022284,           0.0064431,             0.83141,             0.85889,              0.8998,             0.59476,            0.025537,            0.010455,           0.0058969,           0.0060172,           0.0060172,           0.0060172
                 141,            0.023231,            0.023633,           0.0060383,             0.88723,             0.80099,             0.89051,             0.59095,            0.025759,            0.010637,           0.0067997,           0.0059704,           0.0059704,           0.0059704
